the_geom,BORO,BLOCK,LOT,BBL,TYPE,Shape_STAr,Shape_STLe
"MULTIPOLYGON (((-74.01003384966171 40.64892008470653, -74.01002563794849 40.6489163329657, -74.01003150227308 40.64890888607398, -74.01003971398585 40.64891263871492, -74.01003384966171 40.64892008470653)))",3,27000,33,3270000033,1,8.4065481225,11.6417373225
"MULTIPOLYGON (((-74.01404418710545 40.64506798622487, -74.01403278205093 40.645062558393924, -74.01404099416555 40.64505254633261, -74.01405239921903 40.64505797416278, -74.01404418710545 40.64506798622487)))",3,27000,34,3270000034,1,16.0515175219,16.0660997747
"MULTIPOLYGON (((-74.01794823960586 40.641309671582235, -74.01794346409473 40.64130706172461, -74.01794730034256 40.64130298808116, -74.01795207585329 40.64130559703812, -74.01794823960586 40.641309671582235)))",3,27000,35,3270000035,1,2.97932519442,6.91536434467
"MULTIPOLYGON (((-74.0233801561275 40.63498836508886, -74.02335839174972 40.63498438021285, -74.02336344773745 40.6349683544491, -74.02338521092821 40.63497233932443, -74.0233801561275 40.63498836508886)))",3,27000,36,3270000036,1,37.3056152191,24.4348613652
"MULTIPOLYGON (((-74.02552647894241 40.62973310919392, -74.02550459081563 40.629729004980575, -74.02550995888453 40.62971238380054, -74.02553184700584 40.629716487112276, -74.02552647894241 40.62973310919392)))",3,27000,37,3270000037,1,39.0195248543,24.9862777821
"MULTIPOLYGON (((-74.02847382289838 40.62252687719108, -74.02845227314585 40.62252128849462, -74.02845992891082 40.62250415059951, -74.02848147865843 40.622509739294586, -74.02847382289838 40.62252687719108)))",3,27000,38,3270000038,1,41.6793451557,25.8297283943
"MULTIPOLYGON (((-74.03084995544563 40.61670885097117, -74.03082995866916 40.61670255178976, -74.03083793925559 40.61668783964157, -74.03085793721009 40.61669413882129, -74.03084995544563 40.61670885097117)))",3,27000,39,3270000039,1,34.8429929897,23.6148278385
"MULTIPOLYGON (((-73.97247802104883 40.6771960045746, -73.97242028664095 40.677196386976426, -73.97241982890297 40.67715632026633, -73.97247756327616 40.67715593786475, -73.97247802104883 40.6771960045746)))",3,27000,41,3270000041,1,233.783046792,61.2254616081
"MULTIPOLYGON (((-73.96154411927833 40.65507988080049, -73.96154192531485 40.6550767741835, -73.96154599380075 40.65507510778614, -73.96154818776435 40.65507821440305, -73.96154411927833 40.65507988080049)))",3,27000,43,3270000043,1,1.64727256487,5.13384911003
"MULTIPOLYGON (((-73.96133538551719 40.57769336415532, -73.96129560320185 40.577589110573534, -73.96138600515233 40.57756905480035, -73.96142578759631 40.57767330925153, -73.96133538551719 40.57769336415532)))",3,27000,55,3270000055,1,1034.58781321,131.422955434
"MULTIPOLYGON (((-73.96863816983812 40.57632958992267, -73.96855923678613 40.57632532957953, -73.96856508060385 40.576262379123904, -73.96864401358175 40.57626663946305, -73.96863816983812 40.57632958992267)))",3,27000,56,3270000056,1,505.407702176,89.9477696096
"MULTIPOLYGON (((-73.99452319835699 40.64641998377417, -73.99450995512495 40.64641367861701, -73.99451866457198 40.646403066429166, -73.99453190662042 40.64640937158528, -73.99452319835699 40.64641998377417)))",3,27000,59,3270000059,1,19.7598279843,17.7865410773
"MULTIPOLYGON (((-73.9943472327182 40.64094309224969, -73.99424867884511 40.64094240476992, -73.99424949447575 40.64087458676721, -73.9943480482487 40.6408752742463, -73.9943472327182 40.64094309224969)))",3,27000,60,3270000060,1,675.851176102,104.122863374
"MULTIPOLYGON (((-73.99898498866548 40.61929757669976, -73.99888615252272 40.61928647686919, -73.99889962721387 40.619216804626596, -73.99899846443748 40.619227904445665, -73.99898498866548 40.61929757669976)))",3,27000,64,3270000064,1,711.616896914,106.78545885
"MULTIPOLYGON (((-73.99827057418199 40.6046517067004, -73.99821406371126 40.604622418163736, -73.99825744590612 40.604573794251124, -73.9983139563547 40.60460308366711, -73.99827057418199 40.6046517067004)))",3,27000,67,3270000067,1,406.517212796,80.7973727449
"MULTIPOLYGON (((-73.99384713053423 40.60198914377198, -73.99381384173931 40.601970111251475, -73.99383485041668 40.60194876370292, -73.99386813920688 40.6019677962174, -73.99384713053423 40.60198914377198)))",3,27000,68,3270000068,1,112.346453296,42.5556891748
